Program Area,Permit Number,Permit Type,Permit Status,Project Number,Customer Name,Legal Name,CN Number,Project type,TCEQ Received Date,Project Complete Date,Renewal Date,Project Status,Project Name,Regulated Entity,Physical Location,Region Name,County Name,Near City Name,Rules
NSR,171695,STDPMT,EFFECTIVE,353238,VOLTAGRID LLC,Voltagrid LLC,CN606076008,INITIAL,02/06/2023,02/17/2023,02/17/2033,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN111654760,"FROM I-20 PROCEED NORTH TOWARDS LENORA, TX ON HWY 137. TURN WEST ON COUNTY ROAD 2900. TURN SOUTH ON COUNTY ROAD 3201 AND TRAVEL FOR 0.86 MILES. TURN EAST AND TRAVEL FOR 0.5 MILES, GOING PAST TANK BATTERY. PAD WILL BE ON SOUTH SIDE OF LEASE ROAD.",REGION 07 - MIDLAND,MARTIN,LENORAH,6005
NSR,171767,STDPMT,EFFECTIVE,353648,DCP OPERATING COMPANY LP,"DCP Operating Company, LP",CN601229917,INITIAL,02/14/2023,02/24/2023,02/24/2033,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN100222330,FROM THE INTERSECTION OF SR 158 GULF AVE AND FM 866 LOCATED ON THE EAST SIDE OF GOLDSMITH 31.0 MILES W OF MIDLAND DRIVE 1.1 MILE WEST ON SR 158 TO THE GAS PLANT ON THE RIGHT,REGION 07 - MIDLAND,ECTOR,GOLDSMITH,6005
NSR,171767,STDPMT,EFFECTIVE,356060,DCP OPERATING COMPANY LP,"DCP Operating Company, LP",CN601229917,AMEND,04/06/2023,04/18/2023,02/24/2033,COMPLETE,STANDARD PERMIT FOR EXISTING REGISTRATION,RN100222330,FROM THE INTERSECTION OF SR 158 GULF AVE AND FM 866 LOCATED ON THE EAST SIDE OF GOLDSMITH 31.0 MILES W OF MIDLAND DRIVE 1.1 MILE WEST ON SR 158 TO THE GAS PLANT ON THE RIGHT,REGION 07 - MIDLAND,ECTOR,GOLDSMITH,6005
NSR,172516,STDPMT,EFFECTIVE,356342,CONDUIT TOLLCO LLC,"Conduit Tollco, LLC",CN606129708,INITIAL,04/13/2023,04/24/2023,04/24/2033,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN111718532,2045 COUNTY ROAD 3200,REGION 07 - MIDLAND,MARTIN,TARZAN,6005
NSR,174069,STDPMT,EFFECTIVE,363955,TRP OPERATING LLC,Trp Operating LLC,CN605759810,INITIAL,09/22/2023,10/03/2023,10/03/2033,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN111814430,"FROM INTX WITH FM 1555, TRAVEL NORTH ON HWY 349 FOR 0.3 MILES. THEN TURN EAST AT CATTLEGUARD AND PROCEED SOUTH AND EAST ON LEASE RD 1.1 MILES TO STATION.",REGION 07 - MIDLAND,UPTON,RANKIN,6005
NSR,174070,STDPMT,EFFECTIVE,363956,TRP OPERATING LLC,Trp Operating LLC,CN605759810,INITIAL,09/22/2023,10/02/2023,10/02/2033,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN111814448,"FROM INTX WITH FM 1555, TRAVEL NORTH ON HWY 349 FOR 0.3 MILES. THEN TURN EAST AT CATTLEGUARD AND PROCEED SOUTH AND EAST ON LEASE RD 0.8 MILES TO STATION.",REGION 07 - MIDLAND,UPTON,RANKIN,6005
NSR,174071,STDPMT,EFFECTIVE,363957,TRP OPERATING LLC,Trp Operating LLC,CN605759810,INITIAL,09/22/2023,10/03/2023,10/03/2033,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN111814455,"FROM INTX WITH FM 1555, TRAVEL SOUTH ON HWY 349 FOR 1 MILE. THEN NORTH AND EAST ON LEASE RD 2.25 MILES TO STATION.",REGION 07 - MIDLAND,UPTON,RANKIN,6005
NSR,174494,STDPMT,EFFECTIVE,365901,XENERGY PLUS INC,Xenergy Plus Inc,CN606196590,INITIAL,10/30/2023,12/12/2023,12/12/2033,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN111836409,8229 S STOCKTON AVE,REGION 07 - MIDLAND,WARD,MONAHANS,6005
NSR,175054,STDPMT,EFFECTIVE,368723,HIVOLT POWER II LLC,"Hivolt Power Ii, LLC",CN606218907,INITIAL,01/12/2024,02/02/2024,02/02/2034,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN111875936,"FROM THE INTERSECTION OF US-67 AND TX-349 IN RANKIN, HEAD NORTH ON TX-349N AND TRAVEL APPROXIMATELY 2.3 MI. TURN LEFT AND THE SITE IS ON THE RIGHT.",REGION 07 - MIDLAND,UPTON,RANKIN,6005
NSR,175269,STDPMT,EFFECTIVE,369897,HIVOLT POWER II LLC,"Hivolt Power Ii, LLC",CN606218907,INITIAL,02/02/2024,02/08/2024,02/08/2034,COMPLETE,STANDARD PERMIT NEW REGISTRATION,RN111897567,"FROM US-67 & TX-349 IN RANKIN, TX, HEAD N ON TX-349N, TRAVEL 2.1 MILES. TURN LEFT, TRAVEL 0.6 MILES AND THE SITE IS ON THE LEFT.",REGION 07 - MIDLAND,UPTON,RANKIN,6005
