Program Area,Permit Number,Permit Type,Permit Status,Project Number,Customer Name,Legal Name,CN Number,Project Type,TCEQ Received Date,Project Complete Date,Renewal Date,Project Status,Project Name,Regulated Entity,Physical Location,Region Name,County Name,Near City Name,Rules
NSR,171397,STDPMT,CANCELLED,352007,MAVERICK PERMIAN LLC,Maverick Permian LLC,CN606005502,INITIAL,01/02/2023,01/06/2023,,WITHDRAWN,STANDARD PERMIT NEW REGISTRATION,RN105504591,NORTH ON HWY 181 FROM GOLDSMITH 2.0 MILES PAST COYOTE CORNER CATTLE GUARD 12 YELLOW WEST SIDE OF ROAD FOLLOW LEASE ROAD 0.75 MILES STAY TO THE RIGHT ROAD DEAD ENDS INTO BATTERY,REGION 07 - MIDLAND,ANDREWS,ANDREWS,6002 - 116.620 PRE 2011-FEB-27
NSR,114839,STDPMT,EFFECTIVE,352041,"WTG GAS PROCESSING, LLC","ETC Gas Processing, LLC",CN605955772,RENEWAL,01/02/2023,01/02/2023,01/02/2033,COMPLETE,AUTOMATIC RENEWAL NONRULE 6002,RN106965734,FROM BIG SPRINGS GO S ON US 87 FOR 6.7 MI TURN W ON RANCH RD 33 GO 0.9 MI TURN W ON FM 818 GO 3.4 MI TURN N ON LEASE RD & GO 0.2 MI TO SITE ON R,REGION 07 - MIDLAND,HOWARD,BIG SPRING,6002 - NON RULE 2012-NOV-08
NSR,114942,STDPMT,EFFECTIVE,352042,DIAMONDBACK E&P LLC,Diamondback E&P LLC,CN604396721,RENEWAL,01/02/2023,01/02/2023,01/02/2033,COMPLETE,AUTOMATIC RENEWAL NONRULE 6002,RN106247133,FROM INTX OF TX191&1788 GO N ON 1788 FOR .55 MI TO RD ON L GO W FOR 1.2 MI AND INTO FACILITY,REGION 07 - MIDLAND,MIDLAND,MIDLAND,6002 - NON RULE 2012-NOV-08
NSR,114944,STDPMT,EFFECTIVE,352043,XTO ENERGY INC.,XTO Energy Inc.,CN600601348,RENEWAL,01/02/2023,01/02/2023,01/02/2033,COMPLETE,AUTOMATIC RENEWAL NONRULE 6002,RN106742802,,REGION 07 - MIDLAND,MIDLAND,,6002 - NON RULE 2012-NOV-08
NSR,171398,STDPMT,EFFECTIVE,352047,WPX ENERGY PERMIAN LLC,"WPX Energy Permian, LLC",CN603206582,NOTIFYNEW,01/02/2023,01/02/2023,,COMPLETE,OGS NEW PROJECT NOTIFICATION FOR NEW REGISTRATION,RN111626966,"FROM THE INTX OF E 6TH ST AND SU HWY 285 IN PECOS, TX, GO N 13.2 MI ON US HWY 285, GO W 2.3 MI ON CO RD 427, GO 0.4 MI SLIGHT W ON UNMARKED ROAD, GO W 0.7 MI ON CO RD 427",REGION 07 - MIDLAND,REEVES,PECOS,6002 - NON RULE 2012-NOV-08
NSR,170690,STDPMT,CANCELLED,352053,MCM OPERATING LLC,"Mcm Operating, LLC",CN606066561,INITIAL,01/03/2023,01/03/2023,,WITHDRAWN,NSR-VOIDPMT,RN111586418,"AT INT. OF HWY 137 & FM 3113 IN STANTON, TX, GO W ON FM 3113 4.1 MILES. TRN N ONTO FM 829 & GO 2 MILES. TRN W ONTO FM 1212, FOLLOWING BENDS TO THE NORTH AND WEST GO 9.1 MILES, THEN KEEP W ONTO LSE RD FOR 0.3 MILES, TRN S & GO 1 MILE LOCATION ON W.",REGION 07 - MIDLAND,MARTIN,STANTON,
NSR,169011,STDPMT,CANCELLED,352054,LAREDO PETROLEUM INC,"Vital Energy, Inc.",CN604527994,INITIAL,01/03/2023,01/03/2023,,WITHDRAWN,NSR-VOIDPMT,RN108001520,"FROM GARDEN CITY, TX: GO NORTH ON FM 33 FOR 0.2 MILES TURN RIGHT AND PROCEED APPROXIMATELY 1.5 MILES TURN LEFT AND PROCEED APPROXIMATELY 0.5 MILES TURN RIGHT AND PROCEED APPROXIMATELY 0.8 MILES THEN TURN RIGHT INTO FACILITY.",REGION 07 - MIDLAND,GLASSCOCK,GARDEN CITY,
NSR,108065,STDPMT,EFFECTIVE,352060,DCP OPERATING COMPANY LP,"DCP Operating Company, LP",CN601229917,REVISION,01/03/2023,01/03/2023,01/13/2032,COMPLETE,OGS STANDARD PERMIT FOR EXISTING REGISTRATION,RN106022395,FR IH 20 AND US 87 LOCATED ON THE N SIDE OF BIG SPRING TX DRIVE 6.54 MI N ON US 87 TURN LEFT ON CR 34 & DRIVE 3.53 MI TO THE BOOSTER STATION ON THE LEFT,REGION 07 - MIDLAND,HOWARD,BIG SPRING,6002 - NON RULE 2012-NOV-08
NSR,171404,STDPMT,EFFECTIVE,352061,DE IV OPERATING LLC,"De Iv Operating, LLC",CN606040822,NOTIFYNEW,01/03/2023,01/03/2023,,COMPLETE,OGS NEW PROJECT NOTIFICATION FOR NEW REGISTRATION,RN111586418,"AT INT. OF HWY 137 & FM 3113 IN STANTON, TX, GO W ON FM 3113 4.1 MILES. TRN N ONTO FM 829 & GO 2 MILES. TRN W ONTO FM 1212, FOLLOWING BENDS TO THE NORTH AND WEST GO 9.1 MILES, THEN KEEP W ONTO LSE RD FOR 0.3 MILES, TRN S & GO 1 MILE LOCATION ON W.",REGION 07 - MIDLAND,MARTIN,STANTON,6002 - NON RULE 2012-NOV-08
NSR,169490,STDPMT,EFFECTIVE,352064,CIRCLE-S ENERGY LLC,"Circle-S Energy, LLC",CN606091783,OWNCHANGE,01/03/2023,01/03/2023,08/18/2032,COMPLETE,AIR NEW SOURCE REVIEW (NSR) CHANGE OF OWNERSHIP,RN111525572,FROM MENTONE TRAVEL APPROXIMATELY 13.5 MILES NORTHEAST ON HWY 302 TO WHERE THE SITE IS OFF THE SOUTH SIDE OF THE ROAD,REGION 07 - MIDLAND,LOVING,MENTONE,
NSR,155671,STDPMT,EFFECTIVE,352065,CIRCLE-S ENERGY LLC,"Circle-S Energy, LLC",CN606091783,OWNCHANGE,01/03/2023,01/03/2023,05/13/2029,COMPLETE,AIR NEW SOURCE REVIEW (NSR) CHANGE OF OWNERSHIP,RN110682721,"FROM THE INTX OF FM 3095 & FM 2401 IN MIDKIFF, TRAVEL APPROXIMATELY 5 MILES SOUTH ON FM 2401, THEN 2.5 MILES SOUTH/THEN EAST ON CR 126 / CANAL ROAD, AND THEN 1.9 MILES SOUTH ON A LEASE ROAD TO WHERE THE SITE IS OFF THE WEST SIDE OF THE ROAD",REGION 07 - MIDLAND,UPTON,MIDKIFF,
NSR,152721,STDPMT,EFFECTIVE,352067,CIRCLE-S ENERGY LLC,"Circle-S Energy, LLC",CN606091783,OWNCHANGE,01/03/2023,01/03/2023,10/01/2028,COMPLETE,AIR NEW SOURCE REVIEW (NSR) CHANGE OF OWNERSHIP,RN110453347,"FROM THE INTX OF HWY 302 AND PECOS STREET IN MENTONE TRAVEL APPROXIMATELY 6.8 MILES NORTHEAST ON HWY 302, THEN 1 MILE NORTH ON BOULDER ROAD, AND THEN 0.8 MILE NORTH ON A LEASE ROAD TO WHERE THE SITE IS OFF THE WEST SIDE OF THE ROAD",REGION 07 - MIDLAND,LOVING,MENTONE,
NSR,152722,STDPMT,EFFECTIVE,352068,CIRCLE-S ENERGY LLC,"Circle-S Energy, LLC",CN606091783,OWNCHANGE,01/03/2023,01/03/2023,10/01/2028,COMPLETE,AIR NEW SOURCE REVIEW (NSR) CHANGE OF OWNERSHIP,RN110453362,"FROM THE INTX OF HWY 302 AND PECOS STREET IN MENTONE TRAVEL APPROXIMATELY 6.8 MILES NORTHEAST ON HWY 302, THEN 0.5 MILE NORTH ON BOULDER ROAD, AND THEN 0.5 MILE WEST ON A LEASE ROAD TO WHERE THE SITE IS OFF THE NORTH SIDE OF THE ROAD",REGION 07 - MIDLAND,LOVING,MENTONE,
NSR,171220,STDPMT,EFFECTIVE,352073,MAPLE ENERGY HOLDINGS LLC,"Maple Energy Holdings, LLC",CN605980721,INITIAL,01/03/2023,01/03/2023,01/03/2033,COMPLETE,OGS NON-RULE STANDARD PERMIT FOR NEW REGISTRATION,RN110188307,FROM INTERSECTION OF I-20CR 414 WEST OF PECOS GO N ON CR 414 0.8MI TURN R ON CR 411 GO 0.36MI TURN R GO 0.08MI TO LOCATION,REGION 07 - MIDLAND,REEVES,PECOS,6002 - NON RULE 2012-NOV-08
